Gene names,F1,F2,Category
RPS9,0.237878799,0.147927602,NA
UQCRFS1;UQCRFS1P1,0.23770841,0.006098429,NA
HIP1R,0.233258565,-0.615294139,NA
HNRNPLL;HNRPLL,0.233041128,0.633375804,NA
ATP6V0A1,0.230302811,0.055649439,NA
LRRC8D,0.22910436,-0.031329473,NA
RFC3,0.228997548,0.293738683,NA
UFL1,0.227463404,0.148358027,NA
P4HB,0.22669665,0.948359172,NA
SEC16A,0.226037343,0.393487295,NA
API5,0.225636164,0.206309636,NA
XPC,0.224149068,0.319894155,NA
ABCF1,0.221928279,-0.522259394,NA
KHSRP,0.221213023,0.551344554,NA
INTS4,0.221048355,0.634283066,NA
RPS28,0.21970431,0.14339002,NA
CLP1,0.21891276,0.58528773,NA
SMC3,0.218278249,0.353057226,NA
TECR,0.217845917,0.153842926,NA
NUP43,0.217391332,0.584550222,NA
METAP1,0.217149099,1.529801051,NA
PCID2,0.216370265,1.297637939,NA
CSTF1,0.212505976,0.352916082,NA
YWHAZ,0.210857391,0.782595317,NA
CHD4,0.210116069,0.399681091,NA
RPL5,0.208026886,0.436746597,NA
ARID5B,0.207181931,3.118845622,NA
PPAPDC2,0.207056681,0.023880641,NA
PRKRA,0.206108093,0.556381861,NA
TMEM209,0.206097921,0.054110209,NA
RSL24D1,0.20201683,1.05475235,NA
RFC5,0.20177714,0.354262034,NA
ATP5H,0.201332092,-0.184214274,NA
TRRAP,0.199455897,0.180757523,NA
PGRMC1,0.197479248,0.508825302,NA
SKP1,0.195850372,0.540522893,NA
SEC63,0.195152283,0.09503746,NA
NME1-NME2;NME2;NME2P1,0.194985708,0.626338959,NA
LAMP2,0.194471995,0.438810984,NA
PRPF19,0.192529043,0.403417587,NA
PRMT1,0.190518697,0.905302048,NA
RAB10,0.190511703,0.389149348,NA
FARSB,0.190050761,0.117933909,NA
RTF1,0.18938446,1.160511017,NA
EIF4A3,0.188831965,0.47440656,NA
MTA1,0.181674957,0.597223918,NA
RPS11,0.181349436,0.143149694,NA
HMGB1;HMGB1P1,0.180456797,1.825368245,NA
VWA9,0.178898493,0.411001841,NA
TMEM201,0.178345362,0.388270696,NA
NUP210,0.1782945,0.517473221,NA
SIN3B,0.17760404,0.480664571,NA
RPL3,0.175104141,0.112791061,NA
RFC2,0.1731294,0.208993276,NA
S100A16,0.172392527,0.281101863,NA
XRCC6,0.172258377,0.329806646,NA
NUP155,0.170906067,0.364943186,NA
RPL11,0.170577367,0.505647659,NA
