Gene names,F1,F2,Category
HNRNPAB,1.058271408,1.30860583,NA
FOXP4,1.023492813,1.306570053,NA
SF3B3,1.005275726,1.304133733,NA
MAFK,1.580381393,1.304035823,NA
INTS4,1.466799418,1.303827286,NA
NUP153,1.457221985,1.302061081,NA
ASAH1,1.645964305,1.30164655,NA
ZNF318,0.44383049,1.296667735,NA
RPL32,1.582499822,1.291107814,NA
AGK,1.119827906,1.290243785,NA
IGHG1,1.252442678,1.287624359,NA
FLNB,1.42742157,1.27679189,NA
MTA2,1.32052358,1.272757212,NA
EIF3B,1.772525787,1.272701899,NA
SENP3;SENP3-EIF4A1,0.32892863,1.271231333,NA
TFDP1,2.365608215,1.269433339,NA
HNRNPM,1.200979233,1.261888504,NA
SLC9A3R2,1.558790207,1.261029561,NA
RARS,0.397406896,1.257342656,NA
SUGP2,1.124998093,1.252099991,NA
XRCC6,0.965746562,1.245611191,NA
EXOSC5,0.929894129,1.244925817,NA
SNRPD2,1.378696442,1.243612289,NA
STOML2,1.628990173,1.238246282,NA
HNRNPA2B1,1.376571019,1.236532211,NA
ZFHX3,1.739047368,1.234116236,NA
MYL6,1.793352127,1.229842504,NA
NUP93,0.896108627,1.221396764,NA
SPTAN1,2.218228022,1.220860163,NA
GLG1,1.153844198,1.215267181,NA
SLC25A19,1.639012019,1.212623596,NA
IMP4,1.16835022,1.204962413,NA
10-Sep,1.679237366,1.199608485,NA
9-Sep,1.573947271,1.199435552,NA
AP2M1,1.006930033,1.199354172,NA
EIF3C;EIF3CL,1.379440943,1.199181875,NA
ALDOA,1.519126256,1.197356542,NA
GRB2,3.364908854,1.196535746,NA
ATAD1,1.26139005,1.196374257,NA
PUF60,1.288760503,1.196229935,NA
HNRNPL,1.024737676,1.196125666,NA
PPAN-P2RY11;PPAN,0.86086909,1.19384702,NA
PRKDC,1.261140188,1.192594528,NA
RBMX;RBMXL1,1.101769765,1.192178726,NA
POLR2B,0.69240125,1.189453761,NA
TUBB4B;TUBB4A,0.826112111,1.186807632,NA
HIST1H4A,0.968086243,1.185414632,NA
FAM208A,0.639401118,1.184588114,NA
HNRNPK,0.884887695,1.180007299,NA
BUB3,0.897178014,1.174266179,NA
MED23,1.012823741,1.173874537,NA
RBM5,2.524138769,1.17268308,NA
HSPA6;HSPA7,1.432283401,1.1725413,NA
TAF9,1.618523916,1.17168808,NA
EIF3L,0.911571503,1.17079862,NA
ZBTB4,1.913022359,1.169487,NA
DLX1,0.352947235,1.169240316,NA
CRNN,1.811323802,1.166938782,NA
TRIM28,0.955675761,1.160967509,NA
PSAP,1.509792964,1.158823649,NA
HIST2H3A,1.022500992,1.15800794,NA
DIMT1,0.85634168,1.157452901,NA
CDKN2AIP,0.663098017,1.156597137,NA
RPS28,1.42199262,1.155171712,NA
VDAC2,0.88167127,1.153457642,NA
CDK11B;CDK11A,2.306949615,1.15184466,NA
TFAP4,1.065671285,1.151118596,NA
DDX39A,0.906714757,1.150790532,NA
PICALM,1.156188329,1.148681005,NA
GLTSCR1L,1.310596466,1.148187002,NA
